iter	Passed	Remaining
832	7165	1436
833	7174	1427
834	7182	1419
835	7191	1410
836	7199	1402
837	7208	1393
838	7216	1384
839	7225	1376
840	7233	1367
841	7242	1358
842	7250	1350
843	7259	1341
844	7267	1333
845	7276	1324
846	7285	1316
847	7294	1307
848	7305	1299
849	7314	1290
850	7323	1282
851	7331	1273
852	7339	1264
853	7347	1256
854	7355	1247
855	7363	1238
856	7371	1230
857	7379	1221
858	7387	1212
859	7396	1204
860	7403	1195
861	7412	1186
862	7419	1177
863	7428	1169
864	7436	1160
865	7444	1151
866	7452	1143
867	7460	1134
868	7469	1126
869	7478	1117
870	7488	1109
871	7497	1100
872	7505	1091
873	7514	1083
874	7523	1074
875	7533	1066
876	7542	1057
877	7551	1049
878	7561	1040
879	7570	1032
880	7578	1023
881	7586	1015
882	7595	1006
883	7603	997
884	7612	989
885	7621	980
886	7630	972
887	7639	963
888	7648	954
889	7657	946
890	7665	937
891	7674	929
892	7682	920
893	7690	911
894	7698	903
895	7706	894
896	7714	885
897	7722	877
898	7730	868
899	7739	859
900	7747	851
901	7755	842
902	7763	834
903	7772	825
904	7780	816
905	7788	808
906	7796	799
907	7804	790
908	7813	782
909	7821	773
910	7830	764
911	7838	756
912	7847	747
913	7855	739
914	7863	730
915	7871	721
916	7880	713
917	7888	704
918	7896	695
919	7904	687
920	7913	678
921	7921	670
922	7929	661
923	7938	652
924	7946	644
925	7954	635
926	7962	627
927	7971	618
928	7979	609
929	7988	601
930	7996	592
931	8004	584
932	8013	575
933	8021	566
934	8030	558
935	8038	549
936	8046	541
937	8054	532
938	8063	523
939	8071	515
940	8079	506
941	8087	497
942	8095	489
943	8103	480
944	8128	473
945	8139	464
946	8148	456
947	8157	447
948	8167	438
949	8176	430
950	8185	421
951	8194	413
952	8203	404
953	8212	396
954	8221	387
955	8231	378
956	8239	370
957	8247	361
958	8256	352
959	8266	344
960	8275	335
961	8286	327
962	8294	318
963	8302	310
964	8310	301
965	8319	292
966	8328	284
967	8336	275
968	8345	266
969	8353	258
970	8362	249
971	8370	241
972	8378	232
973	8387	223
974	8396	215
975	8404	206
976	8412	198
977	8421	189
978	8429	180
979	8437	172
980	8445	163
981	8453	154
982	8461	146
983	8469	137
984	8477	129
985	8486	120
986	8495	111
987	8503	103
988	8511	94
989	8520	86
990	8528	77
991	8536	68
992	8544	60
993	8553	51
994	8562	43
995	8571	34
996	8581	25
997	8590	17
998	8599	8
999	8608	0
